tournament,eventName,player1,player2,player1_odds,player2_odds,eventdate,lastupdate
Promotions,ATP 2023 vs Season Specials,,,,,,
Promotions,Carlos Alcaraz Season 2023 Specials,,,,,,
Promotions,Holger Rune vs Season Specials 2023,,,,,,
Promotions,WTA 2023 vs Season Specials,,,,,,
Promotions,British Players vs Season Specials 2023,,,,,,
WTA,Ana Konjuh (CRO) vs Carole Monnet (FRA),Ana Konjuh (CRO),Carole Monnet (FRA),1.13,5.75,2022-11-30 19:45,2022-11-30 19:45
WTA,Tatjana Maria (GER) vs Victoria Jimenez Kasintseva (AND),Tatjana Maria (GER),Victoria Jimenez Kasintseva (AND),1.95,1.83,2022-11-30 20:15,2022-11-30 20:15
WTA,Weronika Falkowska (POL) vs Dayana Yastremska (UKR),Weronika Falkowska (POL),Dayana Yastremska (UKR),4.6,1.19,2022-12-01 09:00,2022-12-01 09:00
Challenger,Raphael Collignon (BEL) vs Riccardo Bonadio (ITA),Raphael Collignon (BEL),Riccardo Bonadio (ITA),1.75,1.95,2022-12-01 10:00,2022-12-01 10:00
Challenger,Maximilian Neuchrist (AUT) vs Timofey Skatov (KAZ),Maximilian Neuchrist (AUT),Timofey Skatov (KAZ),3.2,1.3,2022-12-01 10:00,2022-12-01 10:00
Challenger,Nerman Fatic (BIH) vs Jan Choinski (GBR),Nerman Fatic (BIH),Jan Choinski (GBR),2.05,1.7,2022-12-01 10:00,2022-12-01 10:00
Challenger,Inaki Cabrera Bello (ESP) vs Adrian Andreev (BUL),Inaki Cabrera Bello (ESP),Adrian Andreev (BUL),16.0,1.01,2022-12-01 10:00,2022-12-01 10:00
Challenger,Dusan Lajovic (SRB) vs Imanol Lopez Morillo (ESP),Dusan Lajovic (SRB),Imanol Lopez Morillo (ESP),1.14,5.0,2022-12-01 10:00,2022-12-01 10:00
Challenger,Michael Geerts (BEL) vs Oriol Roca Batalla (ESP),Michael Geerts (BEL),Oriol Roca Batalla (ESP),2.0,1.72,2022-12-01 10:00,2022-12-01 10:00
Challenger,Timo Stodder (GER) vs Vit Kopriva (CZE),Timo Stodder (GER),Vit Kopriva (CZE),2.6,1.44,2022-12-01 10:00,2022-12-01 10:00
ITF Men,Ilya Snitari (MDA) vs Kokoro Isomura (JPN),Ilya Snitari (MDA),Kokoro Isomura (JPN),1.33,2.95,2022-12-01 07:15,2022-12-01 07:15
ITF Men,Maxim Shin (UZB) vs Adam Moundir (MAR),Maxim Shin (UZB),Adam Moundir (MAR),3.1,1.3,2022-12-01 07:15,2022-12-01 07:15
ITF Men,Filip Cristian Jianu (ROU) vs Sarp Agabigun (TUR),Filip Cristian Jianu (ROU),Sarp Agabigun (TUR),1.11,5.25,2022-12-01 07:15,2022-12-01 07:15
ITF Men,Valerio Perruzza (ITA) vs Cezar Cretu (ROU),Valerio Perruzza (ITA),Cezar Cretu (ROU),6.0,1.08,2022-12-01 09:15,2022-12-01 09:15
ITF Men,Baran Soyler (TUR) vs Alex Marti Pujolras (ESP),Baran Soyler (TUR),Alex Marti Pujolras (ESP),7.25,1.05,2022-12-01 09:15,2022-12-01 09:15
ITF Men,Vasile Antonescu (ROU) vs Jorge Martinez Martinez (ESP),Vasile Antonescu (ROU),Jorge Martinez Martinez (ESP),3.9,1.2,2022-12-01 09:15,2022-12-01 09:15
ITF Men,Rrezart Cungu (MNE) vs Adrian Mateo Bejenaru (ROU),Rrezart Cungu (MNE),Adrian Mateo Bejenaru (ROU),1.05,7.25,2022-12-01 09:15,2022-12-01 09:15
