,tournament,eventName,player1,player2,player1_odds,player2_odds,eventdate,lastupdate
0,Promotions,ATP 2023 vs Season Specials,,,,,,
1,Promotions,Carlos Alcaraz Season 2023 Specials,,,,,,
2,Promotions,Holger Rune vs Season Specials 2023,,,,,,
3,Promotions,WTA 2023 vs Season Specials,,,,,,
4,Promotions,British Players vs Season Specials 2023,,,,,,
5,WTA,Sophie Chang (USA) vs Bibiane Schoofs (NED),Sophie Chang (USA),Bibiane Schoofs (NED),1.22,4.1,2022-11-30 12:15,2022-11-30 12:15
6,WTA,Pemra Ozgen (TUR) vs Kateryna Baindl (UKR),Pemra Ozgen (TUR),Kateryna Baindl (UKR),5.5,1.14,2022-11-30 14:15,2022-11-30 14:15
7,WTA,Rebecca Peterson (SWE) vs Daria Snigur (UKR),Rebecca Peterson (SWE),Daria Snigur (UKR),1.8,2.0,2022-11-30 15:45,2022-11-30 15:45
8,WTA,Sabine Lisicki (GER) vs Alina Charaeva (RUS),Sabine Lisicki (GER),Alina Charaeva (RUS),1.42,2.85,2022-11-30 16:15,2022-11-30 16:15
9,WTA,Katrina Scott (USA) vs Alison Van Uytvanck (BEL),Katrina Scott (USA),Alison Van Uytvanck (BEL),3.1,1.35,2022-11-30 18:15,2022-11-30 18:15
10,WTA,Ana Konjuh (CRO) vs Carole Monnet (FRA),Ana Konjuh (CRO),Carole Monnet (FRA),1.16,5.0,2022-11-30 19:45,2022-11-30 19:45
11,WTA,Tatjana Maria (GER) vs Victoria Jimenez Kasintseva (AND),Tatjana Maria (GER),Victoria Jimenez Kasintseva (AND),2.0,1.78,2022-11-30 20:15,2022-11-30 20:15
12,WTA,Weronika Falkowska (POL) vs Dayana Yastremska (UKR),Weronika Falkowska (POL),Dayana Yastremska (UKR),4.5,1.19,2022-12-01 09:00,2022-12-01 09:00
13,Challenger,Joao Domingues (POR) vs Maximilian Neuchrist (AUT),Joao Domingues (POR),Maximilian Neuchrist (AUT),1.57,2.25,2022-11-30 10:45,2022-11-30 10:45
14,Challenger,Vitaliy Sachko (UKR) vs Jan Choinski (GBR),Vitaliy Sachko (UKR),Jan Choinski (GBR),2.05,1.7,2022-11-30 11:15,2022-11-30 11:15
15,Challenger,Luca Van Assche (FRA) vs Elias Ymer (SWE),Luca Van Assche (FRA),Elias Ymer (SWE),1.87,1.83,2022-11-30 13:15,2022-11-30 13:15
16,Challenger,Oleksii Krutykh (UKR) vs Pedro Sousa (POR),Oleksii Krutykh (UKR),Pedro Sousa (POR),1.7,2.05,2022-11-30 14:45,2022-11-30 14:45
17,Challenger,Raphael Collignon (BEL) vs Riccardo Bonadio (ITA),Raphael Collignon (BEL),Riccardo Bonadio (ITA),2.0,1.72,2022-12-01 10:00,2022-12-01 10:00
18,Challenger,H. Jebens/N. Schell vs J. Cash/H. Patten,H. Jebens/N. Schell,J. Cash/H. Patten,3.2,1.28,2022-11-30 15:15,2022-11-30 15:15
19,Challenger,D. Istomin/E. Karlovskiy vs J. Faria/D. Vale,D. Istomin/E. Karlovskiy,J. Faria/D. Vale,1.4,2.65,2022-11-30 15:15,2022-11-30 15:15
20,Challenger,N. Borges/F. Cabral vs N. Alvarez Varona/T. Skatov,N. Borges/F. Cabral,N. Alvarez Varona/T. Skatov,1.11,5.25,2022-11-30 16:45,2022-11-30 16:45
21,Challenger,A. Dabryian/G. Oliveira vs F. Coelho/G. Falcao,A. Dabryian/G. Oliveira,F. Coelho/G. Falcao,3.7,1.22,2022-11-30 17:15,2022-11-30 17:15
22,Challenger,Alejandro Moro Canas (ESP) vs Pablo Llamas Ruiz (ESP),Alejandro Moro Canas (ESP),Pablo Llamas Ruiz (ESP),1.7,2.05,2022-11-30 10:15,2022-11-30 10:15
23,Challenger,Steven Diez (CAN) vs Moez Echargui (TUN),Steven Diez (CAN),Moez Echargui (TUN),1.75,1.95,2022-11-30 10:15,2022-11-30 10:15
24,Challenger,Lorenzo Giustino (ITA) vs Lukas Neumayer (AUT),Lorenzo Giustino (ITA),Lukas Neumayer (AUT),2.25,1.57,2022-11-30 12:15,2022-11-30 12:15
25,Challenger,Dusan Lajovic (SRB) vs Imanol Lopez Morillo (ESP),Dusan Lajovic (SRB),Imanol Lopez Morillo (ESP),1.14,5.0,2022-12-01 10:00,2022-12-01 10:00
26,Challenger,Timo Stodder (GER) vs Vit Kopriva (CZE),Timo Stodder (GER),Vit Kopriva (CZE),2.65,1.42,2022-12-01 10:00,2022-12-01 10:00
27,Challenger,A. Barroso Campos/I. Lopez Morillo vs M. Alcala Gurri/I. De Rueda De Genover,A. Barroso Campos/I. Lopez Morillo,M. Alcala Gurri/I. De Rueda De Genover,1.25,3.5,2022-11-30 12:15,2022-11-30 12:15
28,Challenger,I. Sabanov/M. Sabanov vs V. Durasovic/M. Geerts,I. Sabanov/M. Sabanov,V. Durasovic/M. Geerts,1.53,2.3,2022-11-30 12:15,2022-11-30 12:15
29,Challenger,S. Diez/G. M. Moroni vs M. Bortolotti/S. Martos Gornes,S. Diez/G. M. Moroni,M. Bortolotti/S. Martos Gornes,3.2,1.28,2022-11-30 14:15,2022-11-30 14:15
30,Challenger,F. Bergevi/E. Vanshelboim vs V. Kopriva/D. Svrcina,F. Bergevi/E. Vanshelboim,V. Kopriva/D. Svrcina,2.15,1.6,2022-11-30 14:15,2022-11-30 14:15
31,ITF Men,Birtan Duran (TUR) vs Adam Moundir (MAR),Birtan Duran (TUR),Adam Moundir (MAR),8.25,1.03,2022-11-30 06:45,2022-11-30 06:45
32,ITF Men,Baran Soyler (TUR) vs Daniel Rodrigues (POR),Baran Soyler (TUR),Daniel Rodrigues (POR),7.25,1.05,2022-11-30 06:45,2022-11-30 06:45
33,ITF Men,Evgeny Philippov (RUS) vs Maxim Shin (UZB),Evgeny Philippov (RUS),Maxim Shin (UZB),1.3,3.1,2022-11-30 06:45,2022-11-30 06:45
34,ITF Men,Deney Wassermann (NED) vs Alex Marti Pujolras (ESP),Deney Wassermann (NED),Alex Marti Pujolras (ESP),2.85,1.36,2022-11-30 06:45,2022-11-30 06:45
35,ITF Men,Ilya Snitari (MDA) vs Geni Inoue (JPN),Ilya Snitari (MDA),Geni Inoue (JPN),1.1,5.5,2022-11-30 06:45,2022-11-30 06:45
36,ITF Men,Vasile Antonescu (ROU) vs Ivan La Cava (ITA),Vasile Antonescu (ROU),Ivan La Cava (ITA),1.25,3.5,2022-11-30 08:45,2022-11-30 08:45
37,ITF Men,Aleksandr Lobanov (RUS) vs Sarp Agabigun (TUR),Aleksandr Lobanov (RUS),Sarp Agabigun (TUR),3.75,1.22,2022-11-30 08:45,2022-11-30 08:45
38,ITF Men,O. Soyler/E. Sutekin vs K. Isomura/D. Rodrigues,O. Soyler/E. Sutekin,K. Isomura/D. Rodrigues,6.25,1.06,2022-11-30 10:45,2022-11-30 10:45
39,ITF Men,D. Golubev/D. Pichler vs E. Noskin/E. Philippov,D. Golubev/D. Pichler,E. Noskin/E. Philippov,1.57,2.15,2022-11-30 10:45,2022-11-30 10:45
