tournament,eventName,player1,player2,player1_odds,player2_odds,eventdate,lastupdate
Promotions,ATP 2023 vs Season Specials,,,,,,
Promotions,Carlos Alcaraz Season 2023 Specials,,,,,,
Promotions,Holger Rune vs Season Specials 2023,,,,,,
Promotions,WTA 2023 vs Season Specials,,,,,,
Promotions,British Players vs Season Specials 2023,,,,,,
WTA,Cristina Bucsa (ESP) vs Kateryna Baindl (UKR),Cristina Bucsa (ESP),Kateryna Baindl (UKR),2.1,1.7,2022-12-01 14:15,2022-12-01 14:15
WTA,Tatjana Maria (GER) vs Ana Konjuh (CRO),Tatjana Maria (GER),Ana Konjuh (CRO),2.1,1.7,2022-12-01 16:15,2022-12-01 16:15
WTA,Shuai Zhang (CHN) vs Sophie Chang (USA),Shuai Zhang (CHN),Sophie Chang (USA),1.13,5.75,2022-12-01 18:15,2022-12-01 18:15
WTA,Sabine Lisicki (GER) vs Alycia Parks (USA),Sabine Lisicki (GER),Alycia Parks (USA),1.95,1.83,2022-12-02 09:00,2022-12-02 09:00
WTA,J. Ponchet/R. Voracova vs V. Heisen/N. Kichenok,J. Ponchet/R. Voracova,V. Heisen/N. Kichenok,1.65,2.1,2022-12-01 15:45,2022-12-01 15:45
WTA,B. Schoofs/R. Van Der Hoek vs A. Gabueva/A. Zakharova,B. Schoofs/R. Van Der Hoek,A. Gabueva/A. Zakharova,2.25,1.57,2022-12-01 17:45,2022-12-01 17:45
WTA,G. Garcia Perez/V. Jimenez Kasintseva vs A. Panova/A. Parks,G. Garcia Perez/V. Jimenez Kasintseva,A. Panova/A. Parks,2.95,1.35,2022-12-01 20:15,2022-12-01 20:15
Challenger,Raphael Collignon (BEL) vs Riccardo Bonadio (ITA),Raphael Collignon (BEL),Riccardo Bonadio (ITA),1.75,1.95,2022-12-01 15:15,2022-12-01 15:15
Challenger,Aleksandar Vukic (AUS) vs Jurij Rodionov (AUT),Aleksandar Vukic (AUS),Jurij Rodionov (AUT),1.83,1.87,2022-12-02 10:00,2022-12-02 10:00
Challenger,F. Coelho/G. Falcao vs J. Cash/H. Patten,F. Coelho/G. Falcao,J. Cash/H. Patten,6.75,1.06,2022-12-01 15:15,2022-12-01 15:15
Challenger,N. Borges/F. Cabral vs J. Faria/D. Vale,N. Borges/F. Cabral,J. Faria/D. Vale,1.08,6.0,2022-12-01 17:15,2022-12-01 17:15
Challenger,Gian Marco Moroni (ITA) vs Steven Diez (CAN),Gian Marco Moroni (ITA),Steven Diez (CAN),1.4,2.7,2022-12-02 10:00,2022-12-02 10:00
Challenger,Pablo Llamas Ruiz (ESP) vs Lorenzo Giustino (ITA),Pablo Llamas Ruiz (ESP),Lorenzo Giustino (ITA),1.36,2.9,2022-12-02 10:00,2022-12-02 10:00
Challenger,A. Moro Canas/O. Roca Batalla vs M. Bortolotti/S. Martos Gornes,A. Moro Canas/O. Roca Batalla,M. Bortolotti/S. Martos Gornes,2.35,1.5,2022-12-01 14:15,2022-12-01 14:15
Challenger,E. King/R. Stalder vs A. Barroso Campos/I. Lopez Morillo,E. King/R. Stalder,A. Barroso Campos/I. Lopez Morillo,1.4,2.65,2022-12-01 14:15,2022-12-01 14:15
ITF Men,I. Benzal Alia/A. Cohen vs J. Echeverria/M. Mansilla Diez,I. Benzal Alia/A. Cohen,J. Echeverria/M. Mansilla Diez,4.2,1.16,2022-12-01 13:15,2022-12-01 13:15
ITF Men,Roberto Cid Subervi (DOM) vs Joshua Sheehy (USA),Roberto Cid Subervi (DOM),Joshua Sheehy (USA),1.11,5.25,2022-12-01 13:45,2022-12-01 13:45
